2022/1/19/22895378/pennsylvania-redistricting-congressional-map-senate-vote-court-update;Votebeat Pennsylvania;Entry:ce864d32-43ad-4e12-85ce-52b7fe60a5bb;DUKBDM7Z5ZDIPPNWSDBSVGLZ44
2023/5/17/23726884/kari-lake-lawsuit-fundraising-maricopa-signatures;Votebeat Arizona;Entry:7d3acad7-5312-483d-9497-91acfe230450;OKFU3SFH5ZHNBATMCV5GFGEU4U
2023/3/28/23659141/eric-voter-rolls-replacement-electronic-registration-information-center;Votebeat Texas;Entry:ccc43e55-deb7-4dad-a7ab-9fc858f04d7a;ZTVAOB5W2FEINN44V2G2P7G2RY
2022/11/23/23475953/pennsylvania-risk-limiting-audit-hand-count;Votebeat Pennsylvania;Entry:a079b56b-d6c8-41c3-b380-033dfa831627;THMMRMFJIBFDBLVV56XMTT4Y2M
2021/12/30/22860724/potter-county-2022-primary-republican-party-dan-rogers;Votebeat Texas;Entry:8cc3bc0c-131e-4f88-90b3-f36c8f0cc5f8;LP24G7BYN5E6NP5IDJDXZEFCUY
2023/6/15/23762434/pinal-county-arizona-election-security-ballot-counting;Votebeat Arizona;Entry:27bcc645-f5f6-46b0-a9e9-ea5e2befa2bd;F5NVDPTF3RGCTA245MVPCHTRWQ
2022/10/29/23430243/true-vote-konnech-lawsuit-gregg-phillips-engelbrecht-contempt;Votebeat Texas;Entry:16d623fe-3fab-40ea-924a-8b4c3ce43839;HRW2N2XJ2JBN5HJS3CHZX6ITAA
2022/4/3/23003243/arizona-proof-of-citizenship-voting-law-supreme-court-kansas;Votebeat Arizona;Entry:cc87fbf1-4728-4afe-84d5-652e7bb6e482;S4AND4EI3ZDYTKLWVJ3STYEQD4
2022/1/11/22877803/pennsylvania-redistricting-legislative-panel-constitutional-map;Votebeat Pennsylvania;Entry:46a29df6-d82e-450c-b2ec-c39ff573c3d3;D5CMSO2ANVDCDALHLNJR6ZESFY
2022/12/29/23531652/arizona-recount-discrepancy-pinal-county;Votebeat Arizona;Entry:abfb6725-66e7-41a3-a67e-3a89c0c3566d;IAZNN4VAPBBF7I5G2WSIXLMJTM
2022/8/29/23325012/gillespie-county-election-staff-resigns-anissa-hererra-harassment;Votebeat Texas;Entry:41524552-b92b-41e5-9cfa-f12b50e4dee6;PDN2PFVRYRE2NOKVXNJ4JVY2R4
2021/11/22/22797661/internal-election-threats-administrators-anonymous-sources;Votebeat;Entry:0a46e0f1-d8d4-4a03-8217-109a2518c85c;FCWV7EAAVZFINKEON76Z33ZMSY
2022/12/6/23495330/bipartisan-policy-center-election-summit-midterms-panel-discussion-livestream;Votebeat;Entry:885a42b1-2064-4a0a-8103-10a963af67c5;7GECOEJ45JGL3O4S3QK3HBPSBI
2021/11/17/22785348/graphic-of-the-week-high-confidence-in-virginia-election;Votebeat;Entry:6fc83d32-e4e3-4a85-8e36-71b5dedf594f;TXCRFLTPRBH7RHVNK7WLRKPQCU
2023/6/30/23778703/voting-by-mail-application-ballots-2023;Votebeat Texas;Entry:564d7289-36de-4563-a780-835f53f32df5;266A52YJ55GL5K3A35ULEH67DA
2023/3/20/23644958/politicized-elections-partisan-divide-bipartisan-compromise;Votebeat;Entry:54a618c5-d7bc-4e48-a4c3-56abab4658ae;MNQN7P5ROVF3ZAUYI3EJEFWYSM
2022/9/7/23341640/cast-vote-record-data-ballot-tabulator-images;Votebeat Arizona;Entry:a275e058-6066-44c6-8d69-726cee3f81d4;763TA325IZH57IEKVNWFPBY42Y
2023/2/28/23619213/pennsylvania-commonwealth-court-election-fraud-recount-petitions-midterms;Votebeat Pennsylvania;Entry:b7bc423e-b226-402d-8917-4a2c2b7d5185;THF67SAH3NG6TDOM4RQDEUEOKI
2023/7/31/23811244/vvsg-voting-machine-security-election-misinformation;Votebeat;Entry:220cad0e-9293-4574-800c-6d338e29eea9;KVY4BWLVWJGLZB4PEFCZXYDP4A
2022/9/26/23368611/hand-count-ballots-disabled-voters-conspiracy;Votebeat;Entry:ba154d57-01ca-4d1a-aed5-d6bfeb49a272;
2023/4/13/23681012/voting-machine-election-data-storage-worm-bill;Votebeat Texas;Entry:edccf25e-be4e-47bc-b508-3df2cde20d8d;
2023/6/8/23754200/delaware-county-pennsylvania-provisional-ballot-rejection-lawsuit-aclu;Votebeat Pennsylvania;Entry:c99cda05-680c-4a51-8666-8e6362eca8e4;CJXJZLQKXZHZTMGQPFT67RTYMU
2021/8/21/22638566/news-media-election-misinformation-connecticut-newspaper;Votebeat;Entry:02418053-2148-4a9a-8e78-6fefb6ca7fde;
2022/10/31/23432122/preprocessing-absentee-ballots-without-tabulator-scanning;Votebeat Michigan;Entry:799722b9-a0e7-4b06-a319-275ec5390702;OSYYBEAND5FVNE6BXZQRQ4BYBU
2022/7/7/23198952/arizona-primary-election-new-laws-sharpies-vote-centers;Votebeat Arizona;Entry:c28c9972-0efe-46a8-aa43-eee948f4fdd8;
2021/12/13/22832485/jeff-zink-election-integrity-symposium-hand-counted-ballots-potter-county;Votebeat;Entry:8c7103d3-3b64-4967-9512-e54ba2134ddc;
2023/8/4/23820282/deperno-rendon-lambert-charges-voting-machine-breaches;Votebeat Michigan;Entry:8c08310a-dda8-4b19-8405-55ab60bc026b;AK6J7U6OZJEJBI5BA4QHPS3A74
2020/5/23/23132794/carrie-levine-elections-reporting-campaign-finance;Votebeat;Entry:66f61e34-c069-4adf-aa90-358176fb18ad;
2023/1/25/23571731/cochise-county-lisa-marra-resignation-election-security;Votebeat Arizona;Entry:10a903e8-eac0-4fbe-8318-023be5b55827;
2022/6/3/23153797/ballot-drop-boxes-yavapai-county-2000-mules;Votebeat Arizona;Entry:f9fc96a8-21d7-4657-98e6-0df4db16d5a0;
2022/7/11/23200003/schools-polling-places-security-uvalde-shooting;Votebeat;Entry:e6702ac9-61d9-410c-b100-4030ab697903;
2023/4/17/23686951/heider-garcia-resigns-tarrant-county-north-texas;Votebeat Texas;Entry:38945c00-ed9a-4430-bf4f-9772b26acede;
2023/4/24/23696789/bob-bartelsmeyer-cochise-county-elections-director-hiring;Votebeat Arizona;Entry:cfc8ec38-d0aa-48a7-a6a2-69c15b315893;
2021/10/4/22708800/texas-election-audit-greg-abbott-trump;Votebeat Texas;Entry:f826cf03-ec15-49a1-9df8-ad10ba99165a;
2022/6/18/23172969/jan-6-hearings-false-allegations-elections;Votebeat;Entry:c9cf2b04-e3ef-42d5-9abd-c44c2a09bb13;
2022/8/1/23283656/constitutional-sheriffs-true-the-vote-funding-elections-grants;Votebeat;Entry:d513a2b3-ea9c-43d9-90cd-e973bdbe48c8;
2023/4/21/23692851/philadelphia-mayor-primary-election-how-to-vote-mail-ballot;Votebeat Pennsylvania;Entry:5e0389b7-0e38-4e8c-99f7-b713e1f675dd;
2022/1/12/22881371/pennsylvania-redistricting-congressional-map-house-approval;Votebeat Pennsylvania;Entry:97d65442-a52a-4021-99bc-f17010bd7398;
2020/12/1/23064580/michigan-rep-was-victim-of-anti-muslim-attacks-after-county-election-meetings;Votebeat;Entry:a720b83c-2f40-4d40-8345-80befe50c0ad;
2023/1/30/23573273/state-legislatures-election-laws-conspiracy-theories;Votebeat;Entry:f4388e4d-9724-4192-b79a-3c5b77488597;
2022/6/25/23181556/gabriel-sterling-jan-6-testimony-georgia-election-official;Votebeat;Entry:e6b773fb-9477-4412-9f18-34562804bdc5;
2023/7/31/23814539/pennsylvania-fake-electors-charges-trump-electoral-certificate;Votebeat Pennsylvania;Entry:b7a0441e-964d-404e-91a4-198e967e16de;
2021/9/10/22665863/secretaries-state-federal-election-funding-pelosi-schumer-letter;Votebeat;Entry:5f270c55-a28d-4ca6-b6e8-1faa9ca3bf38;
2022/7/29/23284337/logic-accuracy-tests-election-tabulators-oakland-port-huron;Votebeat Michigan;Entry:26a575dc-863a-405d-97a5-bc21a3af954a;6NUTO3VR4JFPJFOXCWVTRDT4R4
2022/12/5/23494340/heider-garcia-tarrant-texas-transparencia-electoral;Votebeat Texas;Entry:68fb427d-10fd-4841-8235-8060429c07db;
2022/8/3/23291342/michigan-primary-detroit-absentee-ballots-huntington-place-poll-challenger-ejected;Votebeat Michigan;Entry:d72b40e0-3e4a-4555-8189-99014008325a;MJBPOLKAE5GGHHDNZYCVZ5XJIQ
2023/2/10/23593445/sb1-election-machine-voting-data-worm-devices;Votebeat Texas;Entry:c4b9221b-b0dd-45d4-8994-959c06b1d2e2;
2022/6/1/23150220/maricopa-county-phoenix-vote-centers-in-person-voting;Votebeat Arizona;Entry:af82437b-9974-496d-b2f0-1a6acb1adc29;
2022/6/27/23181880/republican-poll-watcher-training-rnc-election-worker-recruiting;Votebeat Arizona;Entry:39806c7d-fca6-45e6-a145-4d20061637d2;
2020/5/23/23137040/lauren-aguirre-engagement-editor-audience-strategy;Votebeat;Entry:c11ffa06-ee08-4060-8757-b287bde930af;
2021/6/19/22640422/texas-democrats-legislature-walkout-quorum-republican-election-bill;Votebeat Texas;Entry:74390a4b-eba8-46c8-8ab7-6ef7de14b82f;
2022/5/12/23069219/pennsylvania-mail-ballot-counting-delayed-election-results;Votebeat Pennsylvania;Entry:50833421-4ca8-42e8-8edc-af63e437355c;
2021/10/21/22737225/votebeat-oral-history-election-administration-journalism-origin-popup-newsroom;Votebeat;Entry:c6c4576f-2d07-4f82-9f1c-c6fcf15b221c;3YM255ITCFDTTKBTGS36GT7QXQ
2021/7/12/22627725/texas-house-democrats-walk-out-special-session-deny-republicans-quorum;Votebeat Texas;Entry:82a73e73-6e7f-46bd-ad50-b7a7d415900f;
2020/11/27/23064586/detroit-organizers-found-new-ways-to-increase-voter-turnout-on-election-day;Votebeat;Entry:1697ae45-a96c-4761-bcef-95e48075f332;
2022/11/17/23465507/maricopa-county-provisional-ballots-voters;Votebeat Arizona;Entry:d0cabe87-f9af-4f73-8de5-e5af4e1cf38e;
2020/10/24/22715586/michigans-results-official-but-harm-done-to-black-voters-may-linger;Votebeat;Entry:527f7dc7-4a82-4fe9-ac55-34ea32bb3670;
2022/7/22/23274994/tarrant-county-ballot-review-2020-primary-election-integrity;Votebeat Texas;Entry:a452e293-0e59-4db1-8322-cf4fc8501108;
2022/10/7/23392912/arizona-how-to-vote-mail-ballot-in-person-midterms;Votebeat Arizona;Entry:5a0637a5-b202-4423-b606-eda0f0308552;
2020/12/14/22715567/as-electoral-college-meets-gop-and-dems-agree-michigan-vote-needs-reforms;Votebeat;Entry:78e14bd4-2d05-4d5e-b84a-be2f9a93ab36;
2022/1/25/22901794/new-york-ballot-measures-vote-expansions-tompkins-county;Votebeat;Entry:b37be19a-1ef8-4d23-b8f5-77ebeb81b1b4;
2022/10/27/23427525/clean-elections-usa-drop-box-watchers-voter-intimidation;Votebeat Arizona;Entry:ffa65c14-2bb1-4371-9b9a-f3cd7f6665ed;
2023/6/14/23761192/michigan-prop-2-early-in-person-voting-election-law;Votebeat Michigan;Entry:02be0e14-bc16-4581-9615-b5b14d444d1a;UBGR4NABENGGFHLJ73GMYUJ5WE
2022/11/15/23461197/luzerne-county-paper-shortage-investigation-election-day-voting-problems;Votebeat Pennsylvania;Entry:2bc15737-7eeb-4abc-8baf-ac0e0c284990;
2022/12/9/23502485/republicans-challenge-harris-county-election-result-erin-lunceford-mike-may;Votebeat Texas;Entry:be40de3e-c3fc-46b5-b105-ec36f1eb93e8;
2022/11/28/23482842/undated-ballot-mail-voting-rejection-disparity;Votebeat Pennsylvania;Entry:df11a98a-2fb5-4eb9-8244-80801ae030c3;
2023/1/13/23553994/commonwealth-court-rules-house-special-elections;Votebeat Pennsylvania;Entry:708c486e-da8c-465a-a1db-c53d1dc2a158;
2023/1/12/23552213/texas-legislature-expand-ken-paxton-power-prosecute-election-crimes;Votebeat Texas;Entry:ec5decbd-8ccd-4401-9e02-3cfedc6fc967;
2021/9/13/22671722/federal-election-funding-threats-election-workers-new-laws;Votebeat;Entry:3e81eb68-86cb-4d4a-becf-0d1dd1b6fe9a;
2022/1/25/22901876/pennsylvania-primary-2022-redistricting-delays;Votebeat Pennsylvania;Entry:cbbadb57-2b4d-45f5-9272-03ed7a59283e;
2021/6/5/22640442/were-seeing-who-will-and-wont-confront-the-big-lie;Votebeat;Entry:0aa0b784-6809-467f-9b97-e18dd2c89248;
2022/11/10/23450191/maricopa-election-result-delay-ballot-counting;Votebeat Arizona;Entry:770076fc-24ce-4ff4-a410-86a748735eb4;
2023/4/14/23683305/philadelphia-mayoral-election-2023-voter-turnout;Votebeat Pennsylvania;Entry:2b2baf7c-3d0d-45b6-8f2a-0cd623457104;
2023/6/5/23746653/nevada-harassment-election-workers-law-crime-threats;Votebeat;Entry:81fccce8-92a9-4a93-9199-4ea66bc1b04e;
2021/8/12/22454753/pa-s-political-mapmakers-finally-have-new-census-data-now-the-hard-work-begins;Votebeat;Entry:fea46e20-7dce-4b0d-9934-c82a79bab6ac;
2023/4/24/23692850/dominion-fox-news-lawsuit-settlement-justice-accountability;Votebeat;Entry:8dc2c4fa-63b2-4a96-9fe4-5c51227caa03;
2022/1/10/22877755/jan-6-prevention-democrats-voting-policy;Votebeat;Entry:fb72bb82-94d5-4543-8251-3689eea2e2bf;
2022/5/9/23058809/ohio-primaries-split-legislative-redistricting-maps-limbo;Votebeat;Entry:6775142b-7b9d-4a81-b414-e10ddf294edb;
2021/5/29/22640449/a-look-into-the-kitchen-where-restrictive-voting-laws-are-cooked-up;Votebeat;Entry:b9299934-42eb-43b8-ac1f-be7222bd29a7;
2023/5/17/23727762/texas-eric-bill-voter-roll-program-conspiracy-theory;Votebeat Texas;Entry:c7d23b14-0d6f-40ba-8ebd-6344fc753552;
2022/2/25/22950155/pennsylvania-redistricting-congressional-map-supreme-court-pick;Votebeat Pennsylvania;Entry:df06edb9-f74f-4864-ace3-d8b76883b9fe;
2022/6/13/23163094/elections-grants-donations-zuckerberg-bans;Votebeat;Entry:e51f3823-3b8c-4751-857f-3c6e3b165a7b;
